,Country,Date,Lat,Confirmed,Deaths,Recovered,Active
0,Australia,2020-04-12 11:47:31,-25.0,6315,60,1806,4449
1,Austria,2020-04-12 11:40:06,47.5162,13945,350,6987,6608
2,Canada,2020-04-12 11:47:14,60.00100000000001,23316,654,6650,16012
3,China,2020-04-12 10:22:53,30.5928,83134,3343,77953,1838
4,Denmark,2020-04-12 11:40:06,56.0,6191,260,2123,3808
5,Finland,2020-04-12 11:40:06,61.9241,2974,56,300,2618
6,France,2020-04-12 11:40:06,46.2276,130730,13851,26674,90205
7,Germany,2020-04-12 11:40:06,51.1657,125452,2871,57400,65181
8,Iceland,2020-04-12 11:40:06,64.9631,1689,8,841,840
9,Ireland,2020-04-12 11:40:06,53.1424,8928,320,25,8583
10,Italy,2020-04-12 11:40:06,41.8719,152271,19468,32534,100269
11,Netherlands,2020-04-12 11:40:06,52.3167,24572,2653,291,21628
12,Norway,2020-04-12 11:40:06,60.472,6459,123,32,6304
13,Russia,2020-04-12 11:40:06,61.524,15770,130,1291,14349
14,Sweden,2020-04-12 11:40:06,60.1282,10151,887,381,8883
15,Switzerland,2020-04-12 11:40:06,46.8182,25300,1036,12100,12164
16,United Kingdom,2020-04-12 11:40:06,55.0,79885,9892,625,69368
17,US,2020-04-12 11:40:26,40.0,530006,20608,32110,477288
18,Afghanistan,2020-04-12 11:40:06,33.93911,607,18,32,557
19,Albania,2020-04-12 11:40:06,41.1533,446,23,217,206
20,Algeria,2020-04-12 11:40:06,28.0339,1825,275,460,1090
21,Andorra,2020-04-12 11:40:06,42.5063,601,26,71,504
22,Angola,2020-04-12 11:40:06,-11.2027,19,2,4,13
23,Antigua and Barbuda,2020-04-12 11:40:06,17.0608,21,2,0,19
24,Argentina,2020-04-12 11:40:06,-38.4161,2142,89,440,1613
25,Armenia,2020-04-12 11:40:06,40.0691,1013,13,197,803
26,Azerbaijan,2020-04-12 11:40:06,40.1431,1058,11,200,847
27,Bahamas,2020-04-12 11:40:06,25.025885,46,8,5,33
28,Bahrain,2020-04-12 11:40:06,26.0275,1024,6,557,461
29,Bangladesh,2020-04-12 11:40:06,23.685,621,34,39,548
30,Barbados,2020-04-12 11:40:06,13.1939,68,4,11,53
31,Belarus,2020-04-12 11:40:06,53.7098,2578,26,203,2349
32,Belgium,2020-04-12 11:40:06,50.8333,29647,3600,6463,19584
33,Belize,2020-04-12 11:40:06,17.1899,13,2,0,11
34,Benin,2020-04-12 11:40:06,9.3077,35,1,5,29
35,Bhutan,2020-04-12 11:40:06,27.5142,5,0,2,3
36,Bolivia,2020-04-12 11:40:06,-16.2902,300,24,2,274
37,Bosnia and Herzegovina,2020-04-12 11:40:06,43.9159,986,38,193,755
38,Botswana,2020-04-12 11:40:06,-22.3285,13,1,0,12
39,Brazil,2020-04-12 11:40:06,-14.235,20964,1141,173,19650
40,Brunei,2020-04-12 11:40:06,4.5353,136,1,106,29
41,Bulgaria,2020-04-12 11:40:06,42.7339,669,29,68,572
42,Burkina Faso,2020-04-12 11:40:06,12.2383,484,27,155,302
43,Burma,2020-04-12 11:40:06,21.9162,38,3,2,33
44,Burundi,2020-04-12 11:40:06,-3.3731,5,0,0,5
45,Cabo Verde,2020-04-12 11:40:06,16.5388,8,1,1,6
46,Cambodia,2020-04-12 11:40:06,11.55,122,0,77,45
47,Cameroon,2020-04-12 11:40:06,3.8480000000000003,820,12,98,710
48,Central African Republic,2020-04-12 11:40:06,6.6111,8,0,0,8
49,Chad,2020-04-12 11:40:06,15.4542,11,0,2,9
50,Chile,2020-04-12 11:40:06,-35.6751,6927,73,1864,4990
51,Colombia,2020-04-12 11:40:06,4.5709,2709,100,214,2395
52,Congo (Brazzaville),2020-04-12 11:40:06,-4.2634,60,5,5,50
53,Congo (Kinshasa),2020-04-12 11:40:06,-4.322447,234,20,16,198
54,Costa Rica,2020-04-12 11:40:06,9.7489,577,3,49,525
55,Cote d'Ivoire,2020-04-12 11:40:06,7.54,533,4,58,471
56,Croatia,2020-04-12 11:40:06,45.1,1534,21,323,1190
57,Cuba,2020-04-12 11:40:06,21.521757,620,16,77,527
58,Cyprus,2020-04-12 11:40:06,35.1264,616,10,61,545
59,Czechia,2020-04-12 11:40:06,49.8175,5905,132,422,5351
60,Diamond Princess,2020-04-12 11:40:06,,712,11,619,82
61,Djibouti,2020-04-12 11:40:06,11.8251,187,2,36,149
62,Dominica,2020-04-12 11:40:06,15.415,16,0,5,11
63,Dominican Republic,2020-04-12 11:40:06,18.7357,2759,135,108,2516
64,Ecuador,2020-04-12 11:40:06,-1.8312,7257,315,411,6531
65,Egypt,2020-04-12 11:40:06,26.820553000000004,1939,146,426,1367
66,El Salvador,2020-04-12 11:40:06,13.7942,125,6,21,98
67,Equatorial Guinea,2020-04-12 11:40:06,1.6508,21,0,3,18
68,Eritrea,2020-04-12 11:40:06,15.1794,34,0,0,34
69,Estonia,2020-04-12 11:40:06,58.5953,1309,25,98,1186
70,Eswatini,2020-04-12 11:40:06,-26.5225,14,0,7,7
71,Ethiopia,2020-04-12 11:40:06,9.145,71,3,10,58
72,Fiji,2020-04-12 11:40:06,-17.7134,16,0,0,16
73,Gabon,2020-04-12 11:40:06,-0.8037,49,1,1,47
74,Gambia,2020-04-12 11:40:06,13.4432,9,1,2,6
75,Georgia,2020-04-12 11:40:06,42.3154,252,3,63,186
76,Ghana,2020-04-12 11:40:06,7.9465,408,8,4,396
77,Greece,2020-04-12 11:40:06,39.0742,2081,93,269,1719
78,Grenada,2020-04-12 11:40:06,12.1165,14,0,0,14
79,Guatemala,2020-04-12 11:40:06,15.7835,153,3,19,131
80,Guinea,2020-04-12 11:40:06,9.9456,250,0,17,233
81,Guinea-Bissau,2020-04-12 11:40:06,11.8037,38,0,0,38
82,Guyana,2020-04-12 11:40:06,4.860416000000002,45,6,8,31
83,Haiti,2020-04-12 11:40:06,18.9712,33,2,0,31
84,Holy See,2020-04-12 11:40:06,41.9029,8,0,2,6
85,Honduras,2020-04-12 11:40:06,15.2,393,25,7,361
86,Hungary,2020-04-12 11:40:06,47.1625,1410,99,118,1193
87,India,2020-04-12 11:40:06,20.593684,8504,289,972,7243
88,Indonesia,2020-04-12 11:40:06,-0.7893,4241,373,359,3509
89,Iran,2020-04-12 11:40:06,32.427908,71686,4474,43894,23318
90,Iraq,2020-04-12 11:40:06,33.223191,1318,72,601,645
91,Israel,2020-04-12 11:40:06,31.046051000000002,10878,103,1388,9387
92,Jamaica,2020-04-12 11:40:06,18.1096,69,4,13,52
93,Japan,2020-04-12 11:40:06,36.204824,6748,108,762,5878
94,Jordan,2020-04-12 11:40:06,31.24,381,7,177,197
95,Kazakhstan,2020-04-12 11:40:06,48.0196,897,10,86,801
96,Kenya,2020-04-12 11:40:06,-0.0236,191,7,24,160
97,"Korea, South",2020-04-12 11:40:06,35.90775700000001,10512,214,7368,2930
98,Kosovo,2020-04-12 11:40:06,42.602636,283,7,58,218
99,Kuwait,2020-04-12 11:40:06,29.311659999999996,1234,1,142,1091
100,Kyrgyzstan,2020-04-12 11:40:06,41.20438,377,5,44,328
101,Laos,2020-04-12 11:40:06,19.856270000000002,19,0,0,19
102,Latvia,2020-04-12 11:40:06,56.8796,651,5,16,630
103,Lebanon,2020-04-12 11:40:06,33.8547,630,20,77,533
104,Liberia,2020-04-12 11:40:06,6.4280550000000005,48,5,3,40
105,Libya,2020-04-12 11:40:06,26.3351,25,1,8,16
106,Liechtenstein,2020-04-12 11:40:06,47.14,79,1,55,23
107,Lithuania,2020-04-12 11:40:06,55.1694,1053,23,97,933
108,Luxembourg,2020-04-12 11:40:06,49.8153,3270,62,500,2708
109,MS Zaandam,2020-04-12 11:40:06,,9,2,0,7
110,Madagascar,2020-04-12 11:40:06,-18.766947000000002,102,0,11,91
111,Malawi,2020-04-12 11:40:06,-13.254307999999998,12,2,0,10
112,Malaysia,2020-04-12 11:40:06,4.210483999999999,4683,76,2108,2499
113,Maldives,2020-04-12 11:40:06,3.2028,20,0,13,7
114,Mali,2020-04-12 11:40:06,17.570692,87,7,22,58
115,Malta,2020-04-12 11:40:06,35.9375,378,3,44,331
116,Mauritania,2020-04-12 11:40:06,21.0079,7,1,2,4
117,Mauritius,2020-04-12 11:40:06,-20.348404000000002,319,9,28,282
118,Mexico,2020-04-12 11:40:06,23.6345,4219,273,1772,2174
119,Moldova,2020-04-12 11:40:06,47.4116,1560,30,75,1455
120,Monaco,2020-04-12 11:40:06,43.7333,92,1,5,86
121,Mongolia,2020-04-12 11:40:06,46.8625,16,0,4,12
122,Montenegro,2020-04-12 11:40:06,42.708678000000006,267,2,5,260
123,Morocco,2020-04-12 11:40:06,31.7917,1617,113,153,1351
124,Mozambique,2020-04-12 11:40:06,-18.665695,20,0,2,18
125,Namibia,2020-04-12 11:40:06,-22.9576,16,0,3,13
126,Nepal,2020-04-12 11:40:06,28.1667,12,0,1,11
127,New Zealand,2020-04-12 11:40:06,-40.9006,1330,4,471,855
128,Nicaragua,2020-04-12 11:40:06,12.865416,9,1,4,4
129,Niger,2020-04-12 11:40:06,17.607789,491,11,41,439
130,Nigeria,2020-04-12 11:40:06,9.082,318,10,70,238
131,North Macedonia,2020-04-12 11:40:06,41.6086,828,34,41,753
132,Oman,2020-04-12 11:40:06,21.512583,599,3,109,487
133,Pakistan,2020-04-12 11:40:06,30.3753,5170,88,1026,4056
134,Panama,2020-04-12 11:40:06,8.538,3234,79,23,3132
135,Papua New Guinea,2020-04-12 11:40:06,-6.314993,2,0,0,2
136,Paraguay,2020-04-12 11:40:06,-23.4425,134,6,22,106
137,Peru,2020-04-12 11:40:06,-9.19,6848,181,1739,4928
138,Philippines,2020-04-12 11:40:06,12.879721,4648,297,197,4154
139,Poland,2020-04-12 11:40:06,51.9194,6356,208,375,5773
140,Portugal,2020-04-12 11:40:06,39.3999,15987,470,266,15251
141,Qatar,2020-04-12 11:40:06,25.3548,2979,7,275,2697
142,Romania,2020-04-12 11:40:06,45.9432,6300,306,852,5142
143,Rwanda,2020-04-12 11:40:06,-1.9403,120,0,18,102
144,Saint Kitts and Nevis,2020-04-12 11:40:06,17.357822,12,0,0,12
145,Saint Lucia,2020-04-12 11:40:06,13.9094,15,0,4,11
146,Saint Vincent and the Grenadines,2020-04-12 11:40:06,12.9843,12,0,1,11
147,San Marino,2020-04-12 11:40:06,43.9424,356,35,53,268
148,Sao Tome and Principe,2020-04-12 11:40:06,0.18636,4,0,0,4
149,Saudi Arabia,2020-04-12 11:40:06,23.885942,4033,52,720,3261
150,Senegal,2020-04-12 11:40:06,14.4974,280,2,171,107
151,Serbia,2020-04-12 11:40:06,44.0165,3380,74,0,3306
152,Seychelles,2020-04-12 11:40:06,-4.6796,11,0,0,11
153,Sierra Leone,2020-04-12 11:40:06,8.460555000000001,10,0,0,10
154,Singapore,2020-04-12 11:40:06,1.2833,2299,8,528,1763
155,Slovakia,2020-04-12 11:40:06,48.669,742,2,23,717
156,Slovenia,2020-04-12 11:40:06,46.1512,1205,53,150,1002
157,Somalia,2020-04-12 11:40:06,5.152149,21,1,2,18
158,South Africa,2020-04-12 11:40:06,-30.5595,2028,25,410,1593
159,South Sudan,2020-04-12 11:40:06,6.8770000000000024,4,0,0,4
160,Spain,2020-04-12 11:40:06,40.463667,166019,16972,62391,86656
161,Sri Lanka,2020-04-12 11:40:06,7.873054,203,7,55,141
162,Sudan,2020-04-12 11:40:06,12.8628,19,2,2,15
163,Suriname,2020-04-12 11:40:06,3.9193,10,1,4,5
164,Syria,2020-04-12 11:40:06,34.802075,25,2,5,18
165,Taiwan*,2020-04-12 07:18:31,23.7,388,6,109,273
166,Tanzania,2020-04-12 11:40:06,-6.369028,32,3,5,24
167,Thailand,2020-04-12 11:40:06,15.870032,2551,38,1218,1295
168,Timor-Leste,2020-04-12 11:40:06,-8.874217,2,0,1,1
169,Togo,2020-04-12 11:40:06,8.6195,76,3,25,48
170,Trinidad and Tobago,2020-04-12 11:40:06,10.6918,112,8,12,92
171,Tunisia,2020-04-12 11:40:06,33.886917,685,28,43,614
172,Turkey,2020-04-12 11:40:06,38.9637,52167,1101,2965,48101
173,Uganda,2020-04-12 11:40:06,1.373333,53,0,4,49
174,Ukraine,2020-04-12 11:40:06,48.3794,2777,83,89,2605
175,United Arab Emirates,2020-04-12 11:40:06,23.424076,3736,20,588,3128
176,Uruguay,2020-04-12 11:40:06,-32.5228,501,7,224,270
177,Uzbekistan,2020-04-12 11:40:06,41.377491,833,4,42,787
178,Venezuela,2020-04-12 11:40:06,6.4238,175,9,93,73
179,Vietnam,2020-04-12 11:40:06,14.058323999999999,258,0,144,114
180,West Bank and Gaza,2020-04-12 11:40:06,31.9522,268,2,57,209
181,Western Sahara,2020-04-12 11:40:06,24.2155,6,0,0,6
182,Yemen,2020-04-12 11:40:06,15.552726999999999,1,0,0,1
183,Zambia,2020-04-12 11:40:06,-13.133897,40,2,28,10
184,Zimbabwe,2020-04-12 11:40:06,-19.015438,14,3,0,11
