region,confirmed,recovered,deaths,timestamp
Andhra Pradesh,348,6,4,2020-04-09 19:36:47.925111
Andaman and Nicobar Islands,11,0,0,2020-04-09 19:36:47.925111
Arunachal Pradesh,1,0,0,2020-04-09 19:36:47.925111
Assam,28,0,0,2020-04-09 19:36:47.925111
Bihar,39,0,1,2020-04-09 19:36:47.925111
Chandigarh,18,7,0,2020-04-09 19:36:47.925111
Chhattisgarh,10,9,0,2020-04-09 19:36:47.925111
Delhi,669,21,9,2020-04-09 19:36:47.925111
Goa,7,0,0,2020-04-09 19:36:47.925111
Gujarat,179,25,16,2020-04-09 19:36:47.925111
Haryana,169,29,3,2020-04-09 19:36:47.925111
Himachal Pradesh,18,2,1,2020-04-09 19:36:47.925111
Jammu and Kashmir,158,4,4,2020-04-09 19:36:47.925111
Jharkhand,13,0,0,2020-04-09 19:36:47.925111
Karnataka,181,28,5,2020-04-09 19:36:47.925111
Kerala,345,83,2,2020-04-09 19:36:47.925111
Ladakh,14,10,0,2020-04-09 19:36:47.925111
Madhya Pradesh,259,0,16,2020-04-09 19:36:47.925111
Maharashtra,1135,117,72,2020-04-09 19:36:47.925111
Manipur,2,1,0,2020-04-09 19:36:47.925111
Mizoram,1,0,0,2020-04-09 19:36:47.925111
Odisha,42,2,1,2020-04-09 19:36:47.925111
Puducherry,5,1,0,2020-04-09 19:36:47.925111
Punjab,101,4,8,2020-04-09 19:36:47.925111
Rajasthan,383,21,3,2020-04-09 19:36:47.925111
Tamil Nadu,738,21,8,2020-04-09 19:36:47.925111
Telengana,442,35,7,2020-04-09 19:36:47.925111
Uttarakhand,35,5,0,2020-04-09 19:36:47.925111
Uttar Pradesh,410,31,4,2020-04-09 19:36:47.925111
West Bengal,103,16,5,2020-04-09 19:36:47.925111
