,Country,Date,Lat,Confirmed,Deaths,Recovered,Active
0,Australia,2020-04-13 05:14:44,-25.0,6351,61,1806,4484
1,Austria,2020-04-13 05:07:23,47.5162,13945,350,6987,6608
2,Canada,2020-04-13 05:14:28,60.00100000000001,24380,717,7172,16491
3,China,2020-04-13 00:27:41,30.5928,83135,3343,77956,1836
4,Denmark,2020-04-13 05:07:23,56.0,6369,273,2291,3805
5,Finland,2020-04-13 05:07:23,61.9241,2974,56,300,2618
6,France,2020-04-13 05:07:23,46.2276,133670,14412,27469,91789
7,Germany,2020-04-13 05:07:23,51.1657,127854,3022,60300,64532
8,Iceland,2020-04-13 05:07:23,64.9631,1701,8,889,804
9,Ireland,2020-04-13 05:07:23,53.1424,9655,334,25,9296
10,Italy,2020-04-13 05:07:23,41.8719,156363,19899,34211,102253
11,Netherlands,2020-04-13 05:07:23,52.3167,25746,2747,295,22704
12,Norway,2020-04-13 05:07:23,60.472,6525,128,32,6365
13,Russia,2020-04-13 05:07:23,61.524,15770,130,1291,14349
14,Sweden,2020-04-13 05:07:23,60.1282,10483,899,381,9203
15,Switzerland,2020-04-13 05:07:23,46.8182,25415,1106,12700,11609
16,United Kingdom,2020-04-13 05:07:23,55.0,85208,10629,283,74296
17,US,2020-04-13 05:07:42,40.0,557571,22108,41831,493632
18,Afghanistan,2020-04-13 05:07:23,33.93911,607,18,32,557
19,Albania,2020-04-13 05:07:23,41.1533,446,23,217,206
20,Algeria,2020-04-13 05:07:23,28.0339,1914,293,591,1030
21,Andorra,2020-04-13 05:07:23,42.5063,638,29,128,481
22,Angola,2020-04-13 05:07:23,-11.2027,19,2,4,13
23,Antigua and Barbuda,2020-04-13 05:07:23,17.0608,21,2,0,19
24,Argentina,2020-04-13 05:07:23,-38.4161,2208,95,468,1645
25,Armenia,2020-04-13 05:07:23,40.0691,1013,13,197,803
26,Azerbaijan,2020-04-13 05:07:23,40.1431,1098,11,250,837
27,Bahamas,2020-04-13 05:07:23,25.025885,46,8,5,33
28,Bahrain,2020-04-13 05:07:23,26.0275,1136,6,558,572
29,Bangladesh,2020-04-13 05:07:23,23.685,621,34,39,548
30,Barbados,2020-04-13 05:07:23,13.1939,71,4,11,56
31,Belarus,2020-04-13 05:07:23,53.7098,2578,26,203,2349
32,Belgium,2020-04-13 05:07:23,50.8333,29647,3600,6463,19584
33,Belize,2020-04-13 05:07:23,17.1899,14,2,0,12
34,Benin,2020-04-13 05:07:23,9.3077,35,1,5,29
35,Bhutan,2020-04-13 05:07:23,27.5142,5,0,2,3
36,Bolivia,2020-04-13 05:07:23,-16.2902,330,27,2,301
37,Bosnia and Herzegovina,2020-04-13 05:07:23,43.9159,1009,39,193,777
38,Botswana,2020-04-13 05:07:23,-22.3285,13,1,0,12
39,Brazil,2020-04-13 05:07:23,-14.235,22318,1230,173,20915
40,Brunei,2020-04-13 05:07:23,4.5353,136,1,106,29
41,Bulgaria,2020-04-13 05:07:23,42.7339,675,29,68,578
42,Burkina Faso,2020-04-13 05:07:23,12.2383,497,27,161,309
43,Burma,2020-04-13 05:07:23,21.9162,41,4,2,35
44,Burundi,2020-04-13 05:07:23,-3.3731,5,0,0,5
45,Cabo Verde,2020-04-13 05:07:23,16.5388,8,1,1,6
46,Cambodia,2020-04-13 05:07:23,11.55,122,0,77,45
47,Cameroon,2020-04-13 05:07:23,3.8480000000000003,820,12,98,710
48,Central African Republic,2020-04-13 05:07:23,6.6111,8,0,0,8
49,Chad,2020-04-13 05:07:23,15.4542,18,0,2,16
50,Chile,2020-04-13 05:07:23,-35.6751,7213,80,2059,5074
51,Colombia,2020-04-13 05:07:23,4.5709,2776,109,270,2397
52,Congo (Brazzaville),2020-04-13 05:07:23,-4.2634,60,5,5,50
53,Congo (Kinshasa),2020-04-13 05:07:23,-4.322447,234,20,16,198
54,Costa Rica,2020-04-13 05:07:23,9.7489,595,3,56,536
55,Cote d'Ivoire,2020-04-13 05:07:23,7.54,574,5,85,484
56,Croatia,2020-04-13 05:07:23,45.1,1600,23,373,1204
57,Cuba,2020-04-13 05:07:23,21.521757,669,18,92,559
58,Cyprus,2020-04-13 05:07:23,35.1264,633,11,65,557
59,Czechia,2020-04-13 05:07:23,49.8175,5991,138,464,5389
60,Diamond Princess,2020-04-13 05:07:23,,712,11,619,82
61,Djibouti,2020-04-13 05:07:23,11.8251,214,2,36,176
