,States,Active,Confirmed,Deaths,Recovered,Date,Latitude,Longitude
0,Maharashtra,4591,5649,269,789,2020-04-22T20:17:37+00:00,19.7515,75.7139
1,Delhi,1476,2248,48,724,2020-04-22T20:47:38+00:00,28.7041,77.1025
2,Gujarat,2125,2407,103,179,2020-04-22T20:32:37+00:00,22.2587,71.1924
3,Rajasthan,1517,1888,27,344,2020-04-22T22:27:37+00:00,27.0238,74.2179
4,Tamil Nadu,949,1629,18,662,2020-04-22T18:17:40+00:00,11.1271,78.6569
5,Madhya Pradesh,1355,1587,80,152,2020-04-21T17:57:38+00:00,22.9734,78.6569
6,Uttar Pradesh,1255,1449,21,173,2020-04-22T20:57:38+00:00,26.8467,80.9462
7,Telangana,725,943,24,194,2020-04-21T20:17:41+00:00,,
8,Andhra Pradesh,669,813,24,120,2020-04-22T12:22:37+00:00,15.9129,79.74
9,Karnataka,279,427,17,131,2020-04-22T19:17:37+00:00,15.3173,75.7139
10,Kerala,127,437,2,308,2020-04-22T18:07:37+00:00,10.8505,76.2711
11,Jammu and Kashmir,310,407,5,92,2020-04-22T16:57:38+00:00,33.7782,76.5762
12,West Bengal,335,423,15,73,2020-04-22T09:42:38+00:00,22.9868,87.855
13,Haryana,103,264,3,158,2020-04-22T19:07:38+00:00,29.0588,76.0856
14,Punjab,209,278,16,53,2020-04-22T20:47:39+00:00,31.1471,75.3412
15,Bihar,97,141,2,42,2020-04-22T19:02:38+00:00,25.0961,85.3131
16,Odisha,50,83,1,32,2020-04-22T15:57:38+00:00,20.9517,85.0985
17,Uttarakhand,23,46,0,23,2020-04-22T20:07:38+00:00,30.0668,79.0193
18,Jharkhand,40,46,2,4,2020-04-21T11:07:38+00:00,23.6102,85.2799
19,Himachal Pradesh,21,39,2,16,2020-04-18T19:15:06+00:00,31.1048,77.1734
20,Chhattisgarh,8,36,0,28,2020-04-22T23:07:39+00:00,21.2787,81.8661
21,Assam,15,35,1,19,2020-04-20T08:45:06+00:00,26.2006,92.9376
22,Chandigarh,13,27,0,14,2020-04-19T17:45:25+00:00,30.7333,76.7794
23,Ladakh,4,18,0,14,2020-04-16T15:13:07+00:00,34.2996,78.2932
24,Andaman and Nicobar Islands,7,18,0,11,2020-04-20T18:07:34+00:00,11.7401,92.6586
25,Meghalaya,11,12,1,0,2020-04-18T12:38:07+00:00,,
26,Goa,0,7,0,7,2020-04-19T17:04:07+00:00,15.2993,74.124
27,Puducherry,3,7,0,4,2020-04-19T08:25:07+00:00,11.9416,79.8083
28,Manipur,0,2,0,2,2020-04-20T10:04:08+00:00,24.6637,93.9063
29,Tripura,1,2,0,1,2020-04-10T20:00:27+00:00,23.9408,91.9882
30,Mizoram,1,1,0,0,2020-03-26T07:19:29+00:00,23.1645,92.9376
31,Arunachal Pradesh,0,1,0,1,2020-04-16T19:33:11+00:00,28.218,94.7278
32,Nagaland,0,0,0,0,2020-04-20T08:45:07+00:00,,
33,Dadra and Nagar Haveli,0,0,0,0,2020-04-17T15:03:07+00:00,,
34,Daman and Diu,0,0,0,0,2020-03-26T07:19:29+00:00,,
35,Lakshadweep,0,0,0,0,2020-03-26T07:19:29+00:00,,
36,Sikkim,0,0,0,0,2020-03-26T07:19:29+00:00,,
